version:v1.0
Nombreparamostrar [displayName] Obligatorio,Nombre de usuario [userPrincipalName] Obligatorio,Contraseña inicial [passwordProfile] Obligatorio,Bloquear inicio de sesión (Sí/No) [accountEnabled] Obligatorio,Nombre [givenName],Apellidos [surname],Puesto [jobTitle],Departamento [department],Ubicacion de uso [usageLocation],Calle [streetAddress],Estado o provincia [state],Pais o region [country],Codigo postal [postalCode],Ciudad [city]
Alejandro Garcia,alejandro.garcia@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Alejandro,Garcia,IT Specialist,it-sistemas,ES,Calle Gran Via 1,Madrid,España,28013,Madrid
Lucia Fernandez,lucia.fernandez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Lucia,Fernandez,Controller,finanzas,ES,Calle Gran Via 2,Madrid,España,28013,Madrid
Carlos Rodriguez,carlos.rodriguez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Carlos,Rodriguez,Creative Designer,marketing,ES,Calle Gran Via 3,Madrid,España,28013,Madrid
Elena Martinez,elena.martinez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Elena,Martinez,Talent Acquisition Specialist,recursos-humanos,ES,Calle Gran Via 4,Madrid,España,28013,Madrid
David Lopez,david.lopez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,David,Lopez,Board Member,directivos,ES,Calle Gran Via 5,Madrid,España,28013,Madrid
Sofia Sanchez,sofia.sanchez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Sofia,Sanchez,Document Specialist,shared,ES,Calle Gran Via 6,Madrid,España,28013,Madrid
Javier Perez,javier.perez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Javier,Perez,Developer,it-sistemas,ES,Calle Gran Via 7,Madrid,España,28013,Madrid
Marta Gomez,marta.gomez@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Marta,Gomez,Finance Manager,finanzas,ES,Calle Gran Via 8,Madrid,España,28013,Madrid
Pablo Ruiz,pablo.ruiz@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Pablo,Ruiz,Growth Analyst,marketing,ES,Calle Gran Via 9,Madrid,España,28013,Madrid
Laura Diaz,laura.diaz@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Laura,Diaz,HR Director,recursos-humanos,ES,Calle Gran Via 10,Madrid,España,28013,Madrid
Diego Torres,diego.torres@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Diego,Torres,CEO,directivos,ES,Calle Gran Via 11,Madrid,España,28013,Madrid
Carmen Morales,carmen.morales@garciapablo933gmail.onmicrosoft.com,TFG_Seguro_2026!,No,Carmen,Morales,Office Manager,shared,ES,Calle Gran Via 12,Madrid,España,28013,Madrid
