CustomTimestamp,UserPrincipalName,ThreatType,ThreatInstance,Department,Country,Operation,Result
2026-01-05 13:16:06,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,KP,StorageRead,Failed
2026-01-05 13:58:55,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,KP,StorageRead,Failed
2026-01-05 18:25:14,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,RU,StorageRead,Failed
2026-01-05 20:57:05,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,RU,StorageRead,Failed
2026-01-05 13:33:36,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,RU,StorageRead,Failed
2026-01-05 09:22:52,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,CN,StorageRead,Failed
2026-01-05 09:49:06,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,CN,StorageRead,Failed
2026-01-05 18:15:31,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,CN,StorageRead,Failed
2026-01-05 17:11:45,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,CN,StorageRead,Failed
2026-01-05 12:17:44,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,CN,StorageRead,Failed
2026-01-06 19:06:58,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,KP,StorageRead,Failed
2026-01-06 13:31:20,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,KP,StorageRead,Failed
2026-01-06 14:07:48,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,KP,StorageRead,Failed
2026-01-06 13:51:27,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,KP,StorageRead,Failed
2026-01-06 09:06:11,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,KP,StorageRead,Failed
2026-01-06 12:42:55,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,RU,StorageRead,Failed
2026-01-06 17:58:16,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,RU,StorageRead,Failed
2026-01-06 19:37:26,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,RU,StorageRead,Failed
2026-01-06 12:08:27,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,RU,StorageRead,Failed
2026-01-06 20:16:49,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,CN,StorageRead,Failed
2026-01-06 17:07:19,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,CN,StorageRead,Failed
2026-01-06 13:21:51,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,CN,StorageRead,Failed
2026-01-06 19:07:06,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,CN,StorageRead,Failed
2026-01-06 14:38:52,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,CN,StorageRead,Failed
2026-01-07 14:22:04,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,KP,StorageRead,Failed
2026-01-07 16:32:58,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,KP,StorageRead,Failed
2026-01-07 11:29:25,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,KP,StorageRead,Failed
2026-01-07 15:08:20,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,KP,StorageRead,Failed
2026-01-07 09:40:21,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,KP,StorageRead,Failed
2026-01-07 10:42:07,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,RU,StorageRead,Failed
2026-01-07 16:14:34,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,RU,StorageRead,Failed
2026-01-07 13:47:09,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,RU,StorageRead,Failed
2026-01-07 21:32:21,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,RU,StorageRead,Failed
2026-01-07 20:11:02,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,CN,StorageRead,Failed
2026-01-07 19:45:42,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,CN,StorageRead,Failed
2026-01-07 11:05:02,ashley.miller@garciapablo933gmail.onmicrosoft.com,BruteForce_APT,BF_01,marketing,CN,StorageRead,Failed
