CustomTimestamp,UserPrincipalName,Department,Office,Country,Operation,Resource,Result,IP_Address,NetworkType,Device_ID,Resource_Criticality,UserProfile
2026-01-05 13:16:06,ashley.miller@garciapablo933gmail.onmicrosoft.com,marketing,Unknown,KP,StorageRead,/directivos/estrategia_2026.pdf,Failed,180.17.187.51,External,UNKNOWN-BYOD-1026,High,Normal
2026-01-05 13:58:55,ashley.miller@garciapablo933gmail.onmicrosoft.com,marketing,Unknown,KP,StorageRead,/directivos/estrategia_2026.pdf,Failed,180.155.28.36,External,UNKNOWN-BYOD-1276,High,Normal
2026-01-05 18:25:14,ashley.miller@garciapablo933gmail.onmicrosoft.com,marketing,Unknown,RU,StorageRead,/directivos/estrategia_2026.pdf,Failed,95.32.13.206,External,UNKNOWN-BYOD-1630,High,Normal
2026-01-05 20:57:05,ashley.miller@garciapablo933gmail.onmicrosoft.com,marketing,Unknown,RU,StorageRead,/directivos/estrategia_2026.pdf,Failed,95.54.155.142,External,UNKNOWN-BYOD-2908,High,Normal
2026-01-05 13:33:36,ashley.miller@garciapablo933gmail.onmicrosoft.com,marketing,Unknown,RU,StorageRead,/directivos/estrategia_2026.pdf,Failed,95.244.94.141,External,UNKNOWN-BYOD-1368,High,Normal
2026-01-05 09:22:52,ashley.miller@garciapablo933gmail.onmicrosoft.com,marketing,Unknown,CN,StorageRead,/directivos/estrategia_2026.pdf,Failed,103.243.251.210,External,UNKNOWN-BYOD-2818,High,Normal
2026-01-05 09:49:06,ashley.miller@garciapablo933gmail.onmicrosoft.com,marketing,Unknown,CN,StorageRead,/directivos/estrategia_2026.pdf,Failed,103.22.111.138,External,UNKNOWN-BYOD-6967,High,Normal
2026-01-05 18:15:31,ashley.miller@garciapablo933gmail.onmicrosoft.com,marketing,Unknown,CN,StorageRead,/directivos/estrategia_2026.pdf,Failed,103.18.198.198,External,UNKNOWN-BYOD-9520,High,Normal
2026-01-05 17:11:45,ashley.miller@garciapablo933gmail.onmicrosoft.com,marketing,Unknown,CN,StorageRead,/directivos/estrategia_2026.pdf,Failed,103.70.98.191,External,UNKNOWN-BYOD-9151,High,Normal
2026-01-05 12:17:44,ashley.miller@garciapablo933gmail.onmicrosoft.com,marketing,Unknown,CN,StorageRead,/directivos/estrategia_2026.pdf,Failed,103.143.79.159,External,UNKNOWN-BYOD-3649,High,Normal
2026-01-06 19:06:58,ashley.miller@garciapablo933gmail.onmicrosoft.com,marketing,Unknown,KP,StorageRead,/directivos/estrategia_2026.pdf,Failed,180.227.5.45,External,UNKNOWN-BYOD-3212,High,Normal
2026-01-06 13:31:20,ashley.miller@garciapablo933gmail.onmicrosoft.com,marketing,Unknown,KP,StorageRead,/directivos/estrategia_2026.pdf,Failed,180.23.251.9,External,UNKNOWN-BYOD-8899,High,Normal
2026-01-06 14:07:48,ashley.miller@garciapablo933gmail.onmicrosoft.com,marketing,Unknown,KP,StorageRead,/directivos/estrategia_2026.pdf,Failed,180.18.166.74,External,UNKNOWN-BYOD-5651,High,Normal
